month,revenue,expenses,profit,burn_rate
2024-06,1098946.04,786623.64,312322.41,26220.79
2024-07,1118707.59,767474.71,351232.89,25582.49
2024-07,1063021.0,766871.41,296149.58,25562.38
2024-08,1083927.09,746991.88,336935.21,24899.73
2024-09,1324590.13,1054051.96,270538.17,35135.07
2024-10,1337312.34,991822.19,345490.15,33060.74
2024-11,1226119.79,843237.9,382881.88,28107.93
2024-12,1470745.27,952020.34,518724.93,31734.01
2025-01,1362358.57,965492.18,396866.39,32183.07
2025-02,1397040.59,1115501.55,281539.04,37183.39
2025-03,1587116.36,1126262.86,460853.5,37542.1
2025-04,1572306.04,1221884.89,350421.14,40729.5
