month,department,hired,attrition,net_growth
2024-06,Engineering,0,0,0
2024-06,Sales,0,5,-5
2024-06,Marketing,1,3,-2
2024-06,HR,6,0,6
2024-06,Finance,7,5,2
2024-06,DevOps,7,5,2
2024-06,Product,7,1,6
2024-07,Engineering,5,3,2
2024-07,Sales,4,4,0
2024-07,Marketing,0,0,0
2024-07,HR,7,3,4
2024-07,Finance,8,0,8
2024-07,DevOps,4,0,4
2024-07,Product,4,4,0
2024-07,Engineering,4,5,-1
2024-07,Sales,8,5,3
2024-07,Marketing,4,2,2
2024-07,HR,4,0,4
2024-07,Finance,8,3,5
2024-07,DevOps,7,3,4
2024-07,Product,6,2,4
2024-08,Engineering,7,4,3
2024-08,Sales,4,1,3
2024-08,Marketing,6,3,3
2024-08,HR,6,3,3
2024-08,Finance,8,0,8
2024-08,DevOps,1,0,1
2024-08,Product,7,1,6
2024-09,Engineering,1,4,-3
2024-09,Sales,1,3,-2
2024-09,Marketing,7,3,4
2024-09,HR,0,1,-1
2024-09,Finance,3,4,-1
2024-09,DevOps,3,2,1
2024-09,Product,8,1,7
2024-10,Engineering,6,0,6
2024-10,Sales,5,4,1
2024-10,Marketing,0,4,-4
2024-10,HR,3,2,1
2024-10,Finance,5,0,5
2024-10,DevOps,2,5,-3
2024-10,Product,4,2,2
2024-11,Engineering,3,4,-1
2024-11,Sales,2,1,1
2024-11,Marketing,2,4,-2
2024-11,HR,0,5,-5
2024-11,Finance,5,1,4
2024-11,DevOps,5,4,1
2024-11,Product,6,0,6
2024-12,Engineering,2,1,1
2024-12,Sales,7,2,5
2024-12,Marketing,4,1,3
2024-12,HR,7,3,4
2024-12,Finance,1,5,-4
2024-12,DevOps,2,4,-2
2024-12,Product,3,5,-2
2025-01,Engineering,0,2,-2
2025-01,Sales,3,3,0
2025-01,Marketing,8,3,5
2025-01,HR,2,3,-1
2025-01,Finance,4,4,0
2025-01,DevOps,7,4,3
2025-01,Product,0,3,-3
2025-02,Engineering,0,1,-1
2025-02,Sales,0,4,-4
2025-02,Marketing,6,5,1
2025-02,HR,6,5,1
2025-02,Finance,4,1,3
2025-02,DevOps,6,0,6
2025-02,Product,4,0,4
2025-03,Engineering,5,0,5
2025-03,Sales,6,0,6
2025-03,Marketing,6,4,2
2025-03,HR,3,2,1
2025-03,Finance,2,2,0
2025-03,DevOps,2,3,-1
2025-03,Product,6,2,4
2025-04,Engineering,6,1,5
2025-04,Sales,1,0,1
2025-04,Marketing,8,1,7
2025-04,HR,1,3,-2
2025-04,Finance,2,4,-2
2025-04,DevOps,4,2,2
2025-04,Product,7,3,4
