sprint,date,story_points_planned,story_points_completed,bugs_fixed,features_delivered,team_velocity
Sprint 24,2025-05-27,69,46,15,8,61
Sprint 23,2025-05-13,50,40,16,5,54
Sprint 22,2025-04-29,66,39,16,6,39
Sprint 21,2025-04-15,63,48,9,7,51
Sprint 20,2025-04-01,73,58,5,5,49
Sprint 19,2025-03-18,48,38,17,8,58
Sprint 18,2025-03-04,58,37,18,7,59
Sprint 17,2025-02-18,79,61,9,2,56
Sprint 16,2025-02-04,42,72,8,8,63
Sprint 15,2025-01-21,40,55,20,8,41
Sprint 14,2025-01-07,56,72,17,4,69
Sprint 13,2024-12-24,56,41,17,8,50
Sprint 12,2024-12-10,51,38,19,2,40
Sprint 11,2024-11-26,61,33,5,6,49
Sprint 10,2024-11-12,54,71,12,3,54
Sprint 9,2024-10-29,59,37,19,7,40
Sprint 8,2024-10-15,58,45,9,6,52
Sprint 7,2024-10-01,64,68,9,4,59
Sprint 6,2024-09-17,73,46,9,2,61
Sprint 5,2024-09-03,68,73,18,7,70
Sprint 4,2024-08-20,51,51,9,6,50
Sprint 3,2024-08-06,75,65,10,7,63
Sprint 2,2024-07-23,42,73,20,5,54
Sprint 1,2024-07-09,68,31,12,2,63
